,pokedex_number,image_url,name,types,abilities,base_stats
74,#0075,/pokedex-sv/icon/new/075.png,Graveler,"['rock', 'ground']","Rock Head, Sturdy, Sand Veil","['55', '95', '115', '45', '45', '35']"
75,#0076,/pokedex-sv/icon/new/076.png,Golem,"['rock', 'ground']","Rock Head, Sturdy, Sand Veil","['80', '120', '130', '55', '65', '45']"
76,#0077,/pokedex-sv/icon/new/077.png,Ponyta,['fire'],"Run Away, Flash Fire, Flame Body","['50', '85', '55', '65', '65', '90']"
77,#0078,/pokedex-sv/icon/new/078.png,Rapidash,['fire'],"Run Away, Flash Fire, Flame Body","['65', '100', '70', '80', '80', '105']"
78,#0079,/pokedex-sv/icon/new/079.png,Slowpoke,"['water', 'psychic']","Oblivious, Own Tempo, Regenerator","['90', '65', '65', '40', '40', '15']"
79,#0080,/pokedex-sv/icon/new/080.png,Slowbro,"['water', 'psychic']","Oblivious, Own Tempo, Regenerator","['95', '75', '110', '100', '80', '30']"
80,#0081,/pokedex-sv/icon/new/081.png,Magnemite,"['electric', 'steel']","Magnet Pull, Sturdy, Analytic","['25', '35', '70', '95', '55', '45']"
81,#0082,/pokedex-sv/icon/new/082.png,Magneton,"['electric', 'steel']","Magnet Pull, Sturdy, Analytic","['50', '60', '95', '120', '70', '70']"
82,#0083,/pokedex-sv/icon/new/083.png,Farfetch'd,"['normal', 'flying']","Keen Eye, Inner Focus, Defiant","['52', '90', '55', '58', '62', '60']"
83,#0084,/pokedex-sv/icon/new/084.png,Doduo,"['normal', 'flying']","Run Away, Early Bird, Tangled Feet","['35', '85', '45', '35', '35', '75']"
84,#0085,/pokedex-sv/icon/new/085.png,Dodrio,"['normal', 'flying']","Run Away, Early Bird, Tangled Feet","['60', '110', '70', '60', '60', '110']"
85,#0086,/pokedex-sv/icon/new/086.png,Seel,['water'],"Thick Fat, Hydration, Ice Body","['65', '45', '55', '45', '70', '45']"
86,#0087,/pokedex-sv/icon/new/087.png,Dewgong,"['water', 'ice']","Thick Fat, Hydration, Ice Body","['90', '70', '80', '70', '95', '70']"
87,#0088,/pokedex-sv/icon/new/088.png,Grimer,['poison'],"Stench, Sticky Hold, Poison Touch","['80', '80', '50', '40', '50', '25']"
88,#0089,/pokedex-sv/icon/new/089.png,Muk,['poison'],"Stench, Sticky Hold, Poison Touch","['105', '105', '75', '65', '100', '50']"
89,#0090,/pokedex-sv/icon/new/090.png,Shellder,['water'],"Shell Armor, Skill Link, Overcoat","['30', '65', '100', '45', '25', '40']"
90,#0091,/pokedex-sv/icon/new/091.png,Cloyster,"['water', 'ice']","Shell Armor, Skill Link, Overcoat","['50', '95', '180', '85', '45', '70']"
91,#0092,/pokedex-sv/icon/new/092.png,Gastly,"['ghost', 'poison']",Levitate,"['30', '35', '30', '100', '35', '80']"
92,#0093,/pokedex-sv/icon/new/093.png,Haunter,"['ghost', 'poison']",Levitate,"['45', '50', '45', '115', '55', '95']"
93,#0094,/pokedex-sv/icon/new/094.png,Gengar,"['ghost', 'poison']",Cursed Body,"['60', '65', '60', '130', '75', '110']"
94,#0095,/pokedex-sv/icon/new/095.png,Onix,"['rock', 'ground']","Rock Head, Sturdy, Weak Armor","['35', '45', '160', '30', '45', '70']"
95,#0096,/pokedex-sv/icon/new/096.png,Drowzee,['psychic'],"Insomnia, Forewarn, Inner Focus","['60', '48', '45', '43', '90', '42']"
96,#0097,/pokedex-sv/icon/new/097.png,Hypno,['psychic'],"Insomnia, Forewarn, Inner Focus","['85', '73', '70', '73', '115', '67']"
97,#0098,/pokedex-sv/icon/new/098.png,Krabby,['water'],"Hyper Cutter, Shell Armor, Sheer Force","['30', '105', '90', '25', '25', '50']"
98,#0099,/pokedex-sv/icon/new/099.png,Kingler,['water'],"Hyper Cutter, Shell Armor, Sheer Force","['55', '130', '115', '50', '50', '75']"
99,#0100,/pokedex-sv/icon/new/100.png,Voltorb,['electric'],"Soundproof, Static, Aftermath","['40', '30', '50', '55', '55', '100']"
100,#0101,/pokedex-sv/icon/new/101.png,Electrode,['electric'],"Soundproof, Static, Aftermath","['60', '50', '70', '80', '80', '150']"
101,#0102,/pokedex-sv/icon/new/102.png,Exeggcute,"['grass', 'psychic']","Chlorophyll, Harvest","['60', '40', '80', '60', '45', '40']"
102,#0103,/pokedex-sv/icon/new/103.png,Exeggutor,"['grass', 'psychic']","Chlorophyll, Harvest","['95', '95', '85', '125', '75', '55']"
103,#0104,/pokedex-sv/icon/new/104.png,Cubone,['ground'],"Rock Head, Lightning Rod, Battle Armor","['50', '50', '95', '40', '50', '35']"
104,#0105,/pokedex-sv/icon/new/105.png,Marowak,['ground'],"Rock Head, Lightning Rod, Battle Armor","['60', '80', '110', '50', '80', '45']"
105,#0106,/pokedex-sv/icon/new/106.png,Hitmonlee,['fighting'],"Limber, Reckless, Unburden","['50', '120', '53', '35', '110', '87']"
106,#0107,/pokedex-sv/icon/new/107.png,Hitmonchan,['fighting'],"Keen Eye, Iron Fist, Inner Focus","['50', '105', '79', '35', '110', '76']"
107,#0108,/pokedex-sv/icon/new/108.png,Lickitung,['normal'],"Own Tempo, Oblivious, Cloud Nine","['90', '55', '75', '60', '75', '30']"
108,#0109,/pokedex-sv/icon/new/109.png,Koffing,['poison'],"Levitate, Neutralizing Gas, Stench","['40', '65', '95', '60', '45', '35']"
109,#0110,/pokedex-sv/icon/new/110.png,Weezing,['poison'],"Levitate, Neutralizing Gas, Stench","['65', '90', '120', '85', '70', '60']"
110,#0111,/pokedex-sv/icon/new/111.png,Rhyhorn,"['ground', 'rock']","Lightning Rod, Rock Head, Reckless","['80', '85', '95', '30', '30', '25']"
111,#0112,/pokedex-sv/icon/new/112.png,Rhydon,"['ground', 'rock']","Lightning Rod, Rock Head, Reckless","['105', '130', '120', '45', '45', '40']"
112,#0113,/pokedex-sv/icon/new/113.png,Chansey,['normal'],"Natural Cure, Serene Grace, Healer","['250', '5', '5', '35', '105', '50']"
113,#0114,/pokedex-sv/icon/new/114.png,Tangela,['grass'],"Chlorophyll, Leaf Guard, Regenerator","['65', '55', '115', '100', '40', '60']"
114,#0115,/pokedex-sv/icon/new/115.png,Kangaskhan,['normal'],"Early Bird, Scrappy, Inner Focus","['105', '95', '80', '40', '80', '90']"
115,#0116,/pokedex-sv/icon/new/116.png,Horsea,['water'],"Swift Swim, Sniper, Damp","['30', '40', '70', '70', '25', '60']"
116,#0117,/pokedex-sv/icon/new/117.png,Seadra,['water'],"Poison Point, Sniper, Damp","['55', '65', '95', '95', '45', '85']"
117,#0118,/pokedex-sv/icon/new/118.png,Goldeen,['water'],"Swift Swim, Water Veil, Lightning Rod","['45', '67', '60', '35', '50', '63']"
118,#0119,/pokedex-sv/icon/new/119.png,Seaking,['water'],"Swift Swim, Water Veil, Lightning Rod","['80', '92', '65', '65', '80', '68']"
119,#0120,/pokedex-sv/icon/new/120.png,Staryu,['water'],"Illuminate, Natural Cure, Analytic","['30', '45', '55', '70', '55', '85']"
120,#0121,/pokedex-sv/icon/new/121.png,Starmie,"['water', 'psychic']","Illuminate, Natural Cure, Analytic","['60', '75', '85', '100', '85', '115']"
121,#0122,/pokedex-sv/icon/new/122.png,Mr. Mime,"['psychic', 'fairy']","Soundproof, Filter, Technician","['40', '45', '65', '100', '120', '90']"
122,#0123,/pokedex-sv/icon/new/123.png,Scyther,"['bug', 'flying']","Swarm, Technician, Steadfast","['70', '110', '80', '55', '80', '105']"
123,#0124,/pokedex-sv/icon/new/124.png,Jynx,"['ice', 'psychic']","Oblivious, Forewarn, Dry Skin","['65', '50', '35', '115', '95', '95']"
124,#0125,/pokedex-sv/icon/new/125.png,Electabuzz,['electric'],"Static, Vital Spirit","['65', '83', '57', '95', '85', '105']"
125,#0126,/pokedex-sv/icon/new/126.png,Magmar,['fire'],"Flame Body, Vital Spirit","['65', '95', '57', '100', '85', '93']"
126,#0127,/pokedex-sv/icon/new/127.png,Pinsir,['bug'],"Hyper Cutter, Mold Breaker, Moxie","['65', '125', '100', '55', '70', '85']"
127,#0128,/pokedex-sv/icon/new/128.png,Tauros,['normal'],"Intimidate, Anger Point, Sheer Force","['75', '100', '95', '40', '70', '110']"
128,#0129,/pokedex-sv/icon/new/129.png,Magikarp,['water'],"Swift Swim, Rattled","['20', '10', '55', '15', '20', '80']"
129,#0130,/pokedex-sv/icon/new/130.png,Gyarados,"['water', 'flying']","Intimidate, Moxie","['95', '125', '79', '60', '100', '81']"
130,#0131,/pokedex-sv/icon/new/131.png,Lapras,"['water', 'ice']","Water Absorb, Shell Armor, Hydration","['130', '85', '80', '85', '95', '60']"
131,#0132,/pokedex-sv/icon/new/132.png,Ditto,['normal'],"Limber, Imposter","['48', '48', '48', '48', '48', '48']"
132,#0133,/pokedex-sv/icon/new/133.png,Eevee,['normal'],"Run Away, Adaptability, Anticipation","['55', '55', '50', '45', '65', '55']"
133,#0134,/pokedex-sv/icon/new/134.png,Vaporeon,['water'],"Water Absorb, Hydration","['130', '65', '60', '110', '95', '65']"
134,#0135,/pokedex-sv/icon/new/135.png,Jolteon,['electric'],"Volt Absorb, Quick Feet","['65', '65', '60', '110', '95', '130']"
135,#0136,/pokedex-sv/icon/new/136.png,Flareon,['fire'],"Flash Fire, Guts","['65', '130', '60', '95', '110', '65']"
136,#0137,/pokedex-sv/icon/new/137.png,Porygon,['normal'],"Trace, Download, Analytic","['65', '60', '70', '85', '75', '40']"
137,#0138,/pokedex-sv/icon/new/138.png,Omanyte,"['rock', 'water']","Swift Swim, Shell Armor, Weak Armor","['35', '40', '100', '90', '55', '35']"
138,#0139,/pokedex-sv/icon/new/139.png,Omastar,"['rock', 'water']","Swift Swim, Shell Armor, Weak Armor","['70', '60', '125', '115', '70', '55']"
139,#0140,/pokedex-sv/icon/new/140.png,Kabuto,"['rock', 'water']","Swift Swim, Battle Armor, Weak Armor","['30', '80', '90', '55', '45', '55']"
140,#0141,/pokedex-sv/icon/new/141.png,Kabutops,"['rock', 'water']","Swift Swim, Battle Armor, Weak Armor","['60', '115', '105', '65', '70', '80']"
141,#0142,/pokedex-sv/icon/new/142.png,Aerodactyl,"['rock', 'flying']","Rock Head, Pressure, Unnerve","['80', '105', '65', '60', '75', '130']"
142,#0143,/pokedex-sv/icon/new/143.png,Snorlax,['normal'],"Immunity, Thick Fat, Gluttony","['160', '110', '65', '65', '110', '30']"
143,#0144,/pokedex-sv/icon/new/144.png,Articuno,"['ice', 'flying']","Pressure, Snow Cloak","['90', '85', '100', '95', '125', '85']"
144,#0145,/pokedex-sv/icon/new/145.png,Zapdos,"['electric', 'flying']","Pressure, Static","['90', '90', '85', '125', '90', '100']"
145,#0146,/pokedex-sv/icon/new/146.png,Moltres,"['fire', 'flying']","Pressure, Flame Body","['90', '100', '90', '125', '85', '90']"
146,#0147,/pokedex-sv/icon/new/147.png,Dratini,['dragon'],"Shed Skin, Marvel Scale","['41', '64', '45', '50', '50', '50']"
147,#0148,/pokedex-sv/icon/new/148.png,Dragonair,['dragon'],"Shed Skin, Marvel Scale","['61', '84', '65', '70', '70', '70']"
148,#0149,/pokedex-sv/icon/new/149.png,Dragonite,"['dragon', 'flying']","Inner Focus, Multiscale","['91', '134', '95', '100', '100', '80']"
149,#0150,/pokedex-sv/icon/new/150.png,Mewtwo,['psychic'],"Pressure, Unnerve","['106', '110', '90', '154', '90', '130']"
150,#0151,/pokedex-sv/icon/new/151.png,Mew,['psychic'],Synchronize,"['100', '100', '100', '100', '100', '100']"
151,#0152,/pokedex-sv/icon/new/152.png,Chikorita,['grass'],"Overgrow, Leaf Guard","['45', '49', '65', '49', '65', '45']"
152,#0153,/pokedex-sv/icon/new/153.png,Bayleef,['grass'],"Overgrow, Leaf Guard","['60', '62', '80', '63', '80', '60']"
153,#0154,/pokedex-sv/icon/new/154.png,Meganium,['grass'],"Overgrow, Leaf Guard","['80', '82', '100', '83', '100', '80']"
154,#0155,/pokedex-sv/icon/new/155.png,Cyndaquil,['fire'],"Blaze, Flash Fire","['39', '52', '43', '60', '50', '65']"
155,#0156,/pokedex-sv/icon/new/156.png,Quilava,['fire'],"Blaze, Flash Fire","['58', '64', '58', '80', '65', '80']"
156,#0157,/pokedex-sv/icon/new/157.png,Typhlosion,['fire'],"Blaze, Flash Fire","['78', '84', '78', '109', '85', '100']"
157,#0158,/pokedex-sv/icon/new/158.png,Totodile,['water'],"Torrent, Sheer Force","['50', '65', '64', '44', '48', '43']"
158,#0159,/pokedex-sv/icon/new/159.png,Croconaw,['water'],"Torrent, Sheer Force","['65', '80', '80', '59', '63', '58']"
159,#0160,/pokedex-sv/icon/new/160.png,Feraligatr,['water'],"Torrent, Sheer Force","['85', '105', '100', '79', '83', '78']"
160,#0161,/pokedex-sv/icon/new/161.png,Sentret,['normal'],"Run Away, Keen Eye, Frisk","['35', '46', '34', '35', '45', '20']"
161,#0162,/pokedex-sv/icon/new/162.png,Furret,['normal'],"Run Away, Keen Eye, Frisk","['85', '76', '64', '45', '55', '90']"
162,#0163,/pokedex-sv/icon/new/163.png,Hoothoot,"['normal', 'flying']","Insomnia, Keen Eye, Tinted Lens","['60', '30', '30', '36', '56', '50']"
163,#0164,/pokedex-sv/icon/new/164.png,Noctowl,"['normal', 'flying']","Insomnia, Keen Eye, Tinted Lens","['100', '50', '50', '86', '96', '70']"
164,#0165,/pokedex-sv/icon/new/165.png,Ledyba,"['bug', 'flying']","Swarm, Early Bird, Rattled","['40', '20', '30', '40', '80', '55']"
165,#0166,/pokedex-sv/icon/new/166.png,Ledian,"['bug', 'flying']","Swarm, Early Bird, Iron Fist","['55', '35', '50', '55', '110', '85']"
166,#0167,/pokedex-sv/icon/new/167.png,Spinarak,"['bug', 'poison']","Swarm, Insomnia, Sniper","['40', '60', '40', '40', '40', '30']"
167,#0168,/pokedex-sv/icon/new/168.png,Ariados,"['bug', 'poison']","Swarm, Insomnia, Sniper","['70', '90', '70', '60', '70', '40']"
168,#0169,/pokedex-sv/icon/new/169.png,Crobat,"['poison', 'flying']","Inner Focus, Infiltrator","['85', '90', '80', '70', '80', '130']"
169,#0170,/pokedex-sv/icon/new/170.png,Chinchou,"['water', 'electric']","Volt Absorb, Illuminate, Water Absorb","['75', '38', '38', '56', '56', '67']"
170,#0171,/pokedex-sv/icon/new/171.png,Lanturn,"['water', 'electric']","Volt Absorb, Illuminate, Water Absorb","['125', '58', '58', '76', '76', '67']"
171,#0172,/pokedex-sv/icon/new/172.png,Pichu,['electric'],"Static, Lightning Rod","['20', '40', '15', '35', '35', '60']"
172,#0173,/pokedex-sv/icon/new/173.png,Cleffa,['fairy'],"Cute Charm, Magic Guard, Friend Guard","['50', '25', '28', '45', '55', '15']"
173,#0174,/pokedex-sv/icon/new/174.png,Igglybuff,"['normal', 'fairy']","Cute Charm, Competitive, Friend Guard","['90', '30', '15', '40', '20', '15']"
174,#0175,/pokedex-sv/icon/new/175.png,Togepi,['fairy'],"Hustle, Serene Grace, Super Luck","['35', '20', '65', '40', '65', '20']"
175,#0176,/pokedex-sv/icon/new/176.png,Togetic,"['fairy', 'flying']","Hustle, Serene Grace, Super Luck","['55', '40', '85', '80', '105', '40']"
176,#0177,/pokedex-sv/icon/new/177.png,Natu,"['psychic', 'flying']","Synchronize, Early Bird, Magic Bounce","['40', '50', '45', '70', '45', '70']"
177,#0178,/pokedex-sv/icon/new/178.png,Xatu,"['psychic', 'flying']","Synchronize, Early Bird, Magic Bounce","['65', '75', '70', '95', '70', '95']"
178,#0179,/pokedex-sv/icon/new/179.png,Mareep,['electric'],"Static, Plus","['55', '40', '40', '65', '45', '35']"
179,#0180,/pokedex-sv/icon/new/180.png,Flaaffy,['electric'],"Static, Plus","['70', '55', '55', '80', '60', '45']"
180,#0181,/pokedex-sv/icon/new/181.png,Ampharos,['electric'],"Static, Plus","['90', '75', '85', '115', '90', '55']"
181,#0182,/pokedex-sv/icon/new/182.png,Bellossom,['grass'],"Chlorophyll, Healer","['75', '80', '95', '90', '100', '50']"
182,#0183,/pokedex-sv/icon/new/183.png,Marill,"['water', 'fairy']","Thick Fat, Huge Power, Sap Sipper","['70', '20', '50', '20', '50', '40']"
183,#0184,/pokedex-sv/icon/new/184.png,Azumarill,"['water', 'fairy']","Thick Fat, Huge Power, Sap Sipper","['100', '50', '80', '60', '80', '50']"
184,#0185,/pokedex-sv/icon/new/185.png,Sudowoodo,['rock'],"Sturdy, Rock Head, Rattled","['70', '100', '115', '30', '65', '30']"
185,#0186,/pokedex-sv/icon/new/186.png,Politoed,['water'],"Water Absorb, Damp, Drizzle","['90', '75', '75', '90', '100', '70']"
186,#0187,/pokedex-sv/icon/new/187.png,Hoppip,"['grass', 'flying']","Chlorophyll, Leaf Guard, Infiltrator","['35', '35', '40', '35', '55', '50']"
